state_code,citycode,cityname,country_code,statename,countryname
AFG000,AFG000HEA,赫拉特,AFG,000,阿富汗
AFG000,AFG000KBL,喀布尔,AFG,000,阿富汗
AFG000,AFG000KDH,坎大哈,AFG,000,阿富汗
AFG000,AFG000MZR,马扎里沙里夫,AFG,000,阿富汗
AGO000,AGO000BGO,本戈,AGO,000,安哥拉
AGO000,AGO000BGU,本格拉,AGO,000,安哥拉
AGO000,AGO000BIE,比耶,AGO,000,安哥拉
AGO000,AGO000CAB,卡宾达,AGO,000,安哥拉
AGO000,AGO000CCU,宽多库邦戈,AGO,000,安哥拉
AGO000,AGO000CNN,库内内,AGO,000,安哥拉
AGO000,AGO000CNO,北宽扎,AGO,000,安哥拉
AGO000,AGO000CUS,南宽扎,AGO,000,安哥拉
AGO000,AGO000HUA,万博,AGO,000,安哥拉
AGO000,AGO000HUI,威拉,AGO,000,安哥拉
AGO000,AGO000LNO,北隆达,AGO,000,安哥拉
AGO000,AGO000LSU,南隆达,AGO,000,安哥拉
AGO000,AGO000LUA,罗安达,AGO,000,安哥拉
AGO000,AGO000MAL,马兰热,AGO,000,安哥拉
AGO000,AGO000MOX,莫希科,AGO,000,安哥拉
AGO000,AGO000NAM,纳米贝,AGO,000,安哥拉
AGO000,AGO000UIG,威热,AGO,000,安哥拉
AGO000,AGO000ZAI,扎伊尔,AGO,000,安哥拉
ALB000,ALB0000BR,培拉特,ALB,000,阿尔巴尼亚
ALB000,ALB0000DI,迪勃拉,ALB,000,阿尔巴尼亚
ALB000,ALB0000DR,都拉斯,ALB,000,阿尔巴尼亚
ALB000,ALB0000EL,爱尔巴桑,ALB,000,阿尔巴尼亚
ALB000,ALB0000FR,费里,ALB,000,阿尔巴尼亚
ALB000,ALB0000GJ,吉诺卡斯特,ALB,000,阿尔巴尼亚
ALB000,ALB0000KO,科尔察,ALB,000,阿尔巴尼亚
ALB000,ALB0000KU,库克斯,ALB,000,阿尔巴尼亚
ALB000,ALB0000LE,莱什,ALB,000,阿尔巴尼亚
ALB000,ALB0000SH,斯库台,ALB,000,阿尔巴尼亚
ALB000,ALB0000TR,地拉那,ALB,000,阿尔巴尼亚
ALB000,ALB0000VL,发罗拉,ALB,000,阿尔巴尼亚
AND000,AND000002,卡尼略,AND,000,安道尔
AND000,AND000003,恩坎普,AND,000,安道尔
AND000,AND000004,马萨纳,AND,000,安道尔
AND000,AND000005,奥尔迪诺,AND,000,安道尔
AND000,AND000006,圣胡利娅－德洛里亚,AND,000,安道尔
AND000,AND000007,安道尔城,AND,000,安道尔
AND000,AND000008,莱塞斯卡尔德－恩戈尔达,AND,000,安道尔
ARE000,ARE0000AL,艾因,ARE,000,阿拉伯联合酋长国
ARE000,ARE0000AZ,阿布扎比,ARE,000,阿拉伯联合酋长国
ARE000,ARE0000DU,迪拜,ARE,000,阿拉伯联合酋长国
ARE000,ARE0000SH,沙迦,ARE,000,阿拉伯联合酋长国
ARG000,ARG000AFA,圣拉斐尔,ARG,000,阿根廷
ARG000,ARG000BHI,布兰卡港,ARG,000,阿根廷
ARG000,ARG000BUE,布宜诺斯艾利斯,ARG,000,阿根廷
ARG000,ARG000CNQ,科连特斯,ARG,000,阿根廷
ARG000,ARG000COC,肯考迪娅,ARG,000,阿根廷
ARG000,ARG000COR,科尔多瓦,ARG,000,阿根廷
ARG000,ARG000CRD,里瓦达维亚海军准将城,ARG,000,阿根廷
ARG000,ARG000CTC,卡塔马卡,ARG,000,阿根廷
ARG000,ARG000FMA,福莫萨,ARG,000,阿根廷
ARG000,ARG000IRJ,拉里奥哈,ARG,000,阿根廷
ARG000,ARG000JUJ,胡胡伊,ARG,000,阿根廷
ARG000,ARG000LPG,拉普拉塔,ARG,000,阿根廷
ARG000,ARG000LUQ,圣路易斯,ARG,000,阿根廷
ARG000,ARG000MDQ,马德普拉塔,ARG,000,阿根廷
ARG000,ARG000MDZ,门多萨,ARG,000,阿根廷
ARG000,ARG000NQN,内乌肯,ARG,000,阿根廷
ARG000,ARG000PRA,巴拉那,ARG,000,阿根廷
ARG000,ARG000PSS,波萨达斯,ARG,000,阿根廷
ARG000,ARG000RCU,里奥夸尔托,ARG,000,阿根廷
ARG000,ARG000REL,特雷利乌,ARG,000,阿根廷
ARG000,ARG000RES,雷西斯滕匹亚,ARG,000,阿根廷
ARG000,ARG000RGL,里奥加耶戈斯,ARG,000,阿根廷
ARG000,ARG000ROS,罗萨里奥,ARG,000,阿根廷
ARG000,ARG000RSA,圣罗莎,ARG,000,阿根廷
ARG000,ARG000RWO,罗森,ARG,000,阿根廷
ARG000,ARG000SDE,圣地亚哥-德尔埃斯特罗,ARG,000,阿根廷
ARG000,ARG000SFN,圣菲,ARG,000,阿根廷
ARG000,ARG000SLA,萨尔塔,ARG,000,阿根廷
ARG000,ARG000SMC,圣米格尔-德图库曼,ARG,000,阿根廷
ARG000,ARG000SNS,圣尼古拉斯,ARG,000,阿根廷
